,Premium,Size,Risk free,,,Value,Momentum
,Mkt-RF,SMB,RF,ST REVERSAL,LT REVERSAL,HML,MOM
195605,-5.2,1.45,0.23,1.93,0.22,-1.31,-1.61
195606,3.48,-1.48,0.2,0.8,-1.42,-1.13,2.73
195607,4.84,-1.66,0.22,-1.14,-1.89,-0.04,2.5
195608,-3.18,1.89,0.17,2.07,0.64,-0.74,-0.69
195609,-5.14,1.57,0.18,-1.38,0.98,1.76,-0.75
195610,0.52,-0.1,0.25,0.5,-0.41,-0.06,2.43
195611,0.36,-0.21,0.2,-1.47,2.41,1.78,3.41
195612,3.16,-0.01,0.24,0.05,-1.31,-2.15,3.82
195701,-3.58,3.37,0.27,3.62,4.96,2.81,-3.09
195702,-2.06,-0.72,0.24,-0.16,1.11,-0.72,0.32
195703,2.13,0.26,0.23,1.07,-0.6,-0.48,-0.18
195704,4.26,-1.59,0.25,-0.59,-1.87,-1.45,1
195705,3.45,-1.05,0.26,0.2,-2.08,-2.1,0.48
195706,-0.74,0.54,0.24,-0.82,-1.56,0.01,0.79
195707,0.66,-0.76,0.3,0.56,-0.51,0.43,-0.07
195708,-5.11,0.05,0.25,0.33,2.07,-0.41,0.47
195709,-5.98,0.08,0.26,-4.06,2.49,0.92,0.53
195710,-4.32,-2.52,0.29,-3.5,-0.15,-1.8,1.95
195711,2.3,0.4,0.28,-0.15,-0.78,-2.87,1.27
195712,-3.91,-0.98,0.24,-1.2,1.68,-1.62,7.82
195801,4.66,4.39,0.28,5.48,2.44,4.19,-7.62
195802,-1.52,0.65,0.12,1.76,0.73,0.33,3.73
195803,3.27,0.65,0.09,1.15,-0.7,-0.97,-1.88
195804,3.09,-0.62,0.08,-0.42,1.11,1.61,1.84
195805,2.31,2.16,0.11,1.19,0.3,-0.26,-1.8
195806,2.93,-0.19,0.03,1.95,-0.67,0.4,-0.88
195807,4.39,0.47,0.07,2.8,-2.19,3.06,-3.7
195808,1.91,1.18,0.04,1.72,0.71,0.36,0.21
195809,4.66,0.12,0.19,2.56,-0.62,2.85,-1.1
195810,2.53,1.09,0.18,1.35,-0.97,-1.18,3.15
195811,3.01,1.97,0.11,0.7,-0.35,-1.18,1.58
195812,5.15,-2.03,0.22,1.9,-0.3,0.03,-0.63
195901,0.71,3.02,0.21,1.11,1.87,2.91,-0.26
195902,0.95,1.46,0.19,0.57,0.38,1.16,3.45
195903,0.28,1.49,0.22,0.41,-0.45,-0.34,0.16
195904,3.66,-0.6,0.2,0.06,-0.43,-1.23,3.17
195905,1.73,-2.16,0.22,-0.75,0.91,1.79,1.49
195906,-0.25,0.67,0.25,0.93,-0.02,1.31,2.9
195907,3.17,-0.3,0.25,-0.13,-0.38,0.23,-0.3
195908,-1.39,-0.76,0.19,-0.51,-1.12,0.44,-1
195909,-4.8,-0.09,0.31,-0.11,-0.18,0.55,0.93
195910,1.28,1.44,0.3,1.17,-0.05,-2.1,3.71
195911,1.6,1.23,0.26,-1.7,-0.37,-3.21,2.23
195912,2.45,-0.58,0.34,1.42,-0.51,-0.07,1.03
196001,-6.98,2.09,0.33,3.71,0.92,2.78,-3.54
196002,1.17,0.51,0.29,-0.52,-0.8,-1.93,3.92
196003,-1.63,-0.49,0.35,-0.77,-1.42,-2.94,1.38
196004,-1.71,0.32,0.19,-2.29,-1.19,-2.28,2.84
196005,3.12,1.21,0.27,-3.54,-3.5,-3.7,4.79
196006,2.08,-0.21,0.24,1.12,-0.12,-0.34,0.86
196007,-2.37,-0.51,0.13,1.07,0.27,1.98,-0.81
196008,3.01,0.87,0.17,-1.37,1.09,-0.18,1.91
196009,-5.99,-1.11,0.16,-0.04,1.31,1.62,0.32
196010,-0.71,-4.08,0.22,-2.13,1.25,2.83,1.25
196011,4.69,0.4,0.13,1.05,-2.58,-2.43,3.78
196012,4.71,-1.55,0.16,0.78,-0.57,-0.81,1.41
196101,6.2,0.64,0.19,1.17,3.73,3.72,-4
